crop_id,season,sow_start_month,sow_end_month,harvest_start_month,harvest_end_month,window_text,geographic_scope,source_id,source_locator,precision_source_id,precision_source_locator,curation_method,curation_status,confidence
boro_rice,boro,11,2,4,6,"Transplant November-February; harvest April-June. Exact date remains weather- and location-dependent.",Bangladesh,ais_crop_calendar,"PDF page 1, Boro visual row",bbs_agri_yearbook,"PDF physical page 39, Boro HYV row",human_visual_transcription,human_reviewed,medium
maize,rabi,10,12,4,5,"Sow October-December; harvest April-May. Exact date remains weather- and location-dependent.",Bangladesh,ais_crop_calendar,"PDF page 1, maize visual row",bbs_agri_yearbook,"PDF physical page 39, Rabi maize row",human_visual_transcription,human_reviewed,medium
lentil,rabi,10,11,2,3,"Sow October-November; harvest February-March. Exact date remains weather- and location-dependent.",Bangladesh,ais_crop_calendar,"PDF page 1, lentil visual row",bbs_agri_yearbook,"PDF physical page 40, lentil row",human_visual_transcription,human_reviewed,medium
wheat,rabi,11,12,3,4,"Sow November-December; harvest March to mid-April. Exact date remains weather- and location-dependent.",Bangladesh,ais_crop_calendar,"PDF page 1, wheat (গম) rabi visual row",bbs_agri_yearbook,"PDF physical page 39, Wheat crop-calendar row (November-December sowing; March to Mid-April harvest)",human_visual_transcription,human_reviewed,medium
